Title,Year,SAG Nominee,DGA Nominee,WGA Nominee,Critics Choice Nominee,Critics Choice Winner,NBR,NBR Winner,GG Nominee,GG Winner,BAFTA,BAFTA Noms,LAFCA,NYFCC,NSFC,Palme dOr,Golden Lion,Best Picture Nominee
Everything Everywhere All at Once,2022,1,1,1,1,1,1,0,1,0,1,10,1,0,0,0,0,1
Babylon,2022,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
The Banshees of Inisherin,2022,1,1,0,1,0,1,0,1,1,1,10,0,0,0,0,0,1
The Fabelmans,2022,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1
Women Talking,2022,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Tar,2022,0,1,1,1,0,0,0,1,0,1,5,1,1,1,0,0,1
Top Gun Maverick,2022,0,1,1,1,0,1,1,1,0,0,4,0,0,0,0,0,1
The Menu,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She Said,2022,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Black Panther: Wakanda Forever,2022,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Batman,2022,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Nope,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avatar: The Way of Water,2022,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1
Elvis,2022,0,0,0,1,0,0,0,1,0,1,9,0,0,0,0,0,1
Glass Onion,2022,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
RRR,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aftersun,2022,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
Till,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Triangle of Sadness,2022,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1
All Quiet on the Western Front,2022,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1
All the Beauty and the Bloodshed,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CODA,2021,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1
Belfast,2021,1,1,0,1,0,1,0,1,0,1,6,0,0,0,0,0,1
Don't Look Up,2021,1,0,1,1,0,1,0,1,0,1,4,0,0,0,0,0,1
House of Gucci,2021,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
King Richard,2021,1,0,1,1,0,1,0,1,0,0,4,0,0,0,0,0,1
The Power of the Dog,2021,0,1,0,1,1,0,0,1,1,1,8,0,0,0,0,0,1
Licorice Pizza,2021,0,1,1,1,0,1,1,1,0,1,5,0,0,0,0,0,1
No Time to Die,2021,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
West Side Story,2021,0,1,1,1,0,1,0,1,1,0,5,0,0,0,0,0,1
Dune,2021,0,1,1,1,0,1,0,1,0,1,11,0,0,0,0,0,1
Being the Ricardos,2021,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
The French Dispatch,2021,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Nightmare Alley,2021,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,1
tick tick BOOM,2021,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Last Duel,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Red Rocket,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Tragedy of Macbeth,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Cyrano,2021,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
Titane,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Happening,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
