Title,Year,Metacritic,"Sequel, remake, or otherwise based on well-established IP (NOT THE SAME AS ADAPTED)",Subjective Field: Acclaimed Filmmaker,Majority Black Cast / Queer Themes (test to see if this field accurately captures snubs such as If Beale Street Could Talk or Carol),Foreign Language,SpiritNom,Spirit,AstraNom,Astra,AstraCnt,AstraDirNom,AstraDirWin,SAGNom,SAG,DGANom,DGA,WGANom,WGA,PGANom,PGA,CCNom,CCTotalNom,CC,NBRNom,NBR,AFI,GGDirectorNom,GGDirector,GGDramaNom,GGDrama,GGComedyNom,GGComedy,BAFTANom,BAFTA,BAFTACnt,LAFCA,NYFCC,NSFC,Palme dOr,TIFF,Golden Lion,Best Picture Nominee,OscarNoms,DirectingNom,ActingNom,ScreenplayNom,EditingNom,Win
Anora,2024,90,0,1,0,0,1,0,1,0,6,1,0,1,0,1,1,1,0,1,1,1,7,1,1,0,1,1,0,0,0,1,0,1,0,7,1,0,0,1,0,0,1,6,1,1,1,1,0
Emilia Perez,2024,69,0,0,1,1,0,0,1,0,7,1,0,1,0,1,0,0,0,1,0,1,10,0,0,0,1,1,0,0,0,1,1,1,0,11,0,0,0,0,0,0,1,13,1,1,1,1,0
Conclave,2024,81,0,1,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,1,0,1,11,0,1,0,1,1,0,1,0,0,0,1,0,12,0,0,0,0,0,0,1,8,0,1,1,1,0
The Brutalist,2024,88,0,0,0,0,0,0,1,0,5,1,0,0,0,1,1,0,0,1,0,1,9,0,0,0,1,1,1,1,1,0,0,1,0,9,0,1,0,0,0,0,1,10,1,1,1,1,0
Sing Sing,2024,84,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,1,0,0
Blitz,2024,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dune: Part Two,2024,79,1,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,1,0,1,10,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,5,0,0,0,0,0
Gladiator II,2024,64,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
5-Sep,2024,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Nickel Boys,2024,89,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0
The Piano Lesson,2024,68,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Complete Unknown,2024,71,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,3,0,1,0,1,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,1,8,1,1,1,0,0
Juror No. 2,2024,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queer,2024,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Real Pain,2024,83,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0
The Room Next Door,2024,70,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Saturday Night,2024,62,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furiosa: A Mad Max Saga,2024,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nosferatu,2024,83,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0
Wicked,2024,73,1,0,0,0,0,0,1,1,8,1,1,1,0,0,0,1,0,1,0,1,11,0,1,1,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,10,0,1,0,1,0
Hard Truths,2024,87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Challengers,2024,82,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nightbitch,2024,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joker: Folie a Deux,2024,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babygirl,2024,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Seed of the Sacred Fig,2024,85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
All We Imagine As Light,2024,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Substance,2024,78,0,0,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,5,1,1,1,0,0
I Saw the TV Glow,2024,86,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm Still Here,2024,84,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0
American Fiction,2023,81,0,0,1,0,1,0,1,0,5,1,0,1,0,0,0,1,0,1,0,1,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,5,0,1,1,0,0
Barbie,2023,80,1,1,0,0,0,0,1,1,10,1,0,1,0,1,0,1,0,1,0,1,18,0,1,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,8,0,1,1,0,0
